faixa_atraso,pedidos,nota_media,notas_baixas,notas_baixas_pct
No prazo,88101,4.289837799797959,8159,9.260961850603284
1–3 dias,1842,3.2877307274701413,594,32.24755700325733
4–7 dias,1741,2.1045376220562897,1178,67.66226306720276
8–14 dias,1444,1.6717451523545706,1157,80.12465373961219
15+ dias,1330,1.7225563909774435,1043,78.42105263157895
