grupo,pedidos,nota_media,nota_mediana,notas_baixas,notas_baixas_pct
No prazo,88101,4.289837799797959,5.0,8159,9.260961850603284
Atrasado,6357,2.2691521157778825,1.0,3972,62.48230297310052
