customer_state,n_no_prazo,n_atrasado,baixas_no_prazo_pct,baixas_atrasado_pct,diferenca_pp,volume_suficiente
AC,74,3,12.162162162162163,66.66666666666666,54.504504504504496,False
AL,310,80,9.032258064516128,66.25,57.21774193548387,True
AM,139,4,10.79136690647482,75.0,64.20863309352518,False
AP,64,2,6.25,0.0,-6.25,False
BA,2804,379,11.269614835948644,60.15831134564644,48.888696509697795,True
CE,1080,174,8.88888888888889,68.39080459770115,59.50191570881226,True
DF,1913,118,9.722948248823837,72.03389830508475,62.31095005626091,True
ES,1738,204,8.860759493670885,55.88235294117647,47.02159344750559,True
GO,1788,122,9.843400447427292,63.934426229508205,54.09102578208091,True
MA,578,122,10.55363321799308,64.75409836065575,54.200465142662665,True
MG,10617,503,9.522463972873693,59.24453280318092,49.72206883030722,True
MS,626,68,8.30670926517572,60.29411764705882,51.9874083818831,True
MT,813,51,10.33210332103321,52.94117647058824,42.60907314955503,True
PA,825,98,11.272727272727273,74.48979591836735,63.217068645640076,True
PB,453,51,9.492273730684326,62.745098039215684,53.25282430853136,True
PE,1410,149,9.078014184397164,70.46979865771812,61.39178447332095,True
PI,399,65,8.521303258145362,63.07692307692307,54.555619818777714,True
PR,4627,194,9.09876810028096,52.0618556701031,42.963087569822136,True
RJ,10621,1453,10.912343470483005,73.09015829318652,62.17781482270351,True
RN,422,43,6.6350710900473935,74.4186046511628,67.7835335611154,True
RO,234,7,10.683760683760683,57.14285714285714,46.45909645909646,False
RR,35,5,5.714285714285714,80.0,74.28571428571429,False
RS,4923,321,8.572008937639652,64.17445482866043,55.60244589102078,True
SC,3181,284,8.833700094309965,59.859154929577464,51.025454835267496,True
SE,282,50,10.28368794326241,68.0,57.71631205673759,True
SP,37903,1780,8.656306888636783,54.438202247191015,45.78189535855423,True
TO,242,27,8.677685950413224,44.44444444444444,35.76675849403122,True
