status,pedidos,percentual
delivered,96478,97.02034372140264
shipped,1107,1.1132229161010045
canceled,625,0.6285133898492574
unavailable,609,0.6124234470691163
invoiced,314,0.3157651270602669
processing,301,0.3026920485514023
created,5,0.005028107118794059
approved,2,0.0020112428475176232
