uf,pedidos,atrasados,mediana_dias,taxa_atraso_pct,entra_no_grafico
AC,77,3,18.37943287037037,3.896103896103896,False
AL,393,83,22.332916666666666,21.119592875318066,True
AM,144,4,25.862309027777776,2.7777777777777777,True
AP,67,2,24.347025462962964,2.9850746268656714,False
BA,3210,391,16.952060185185186,12.18068535825545,True
CE,1260,176,18.22719328703704,13.968253968253968,True
DF,2041,118,11.575949074074074,5.781479666829985,True
ES,1968,213,13.711377314814815,10.823170731707316,True
GO,1921,126,13.996400462962963,6.559083810515356,True
MA,705,125,19.23695601851852,17.73049645390071,True
MG,11189,517,10.374548611111111,4.620609527214229,True
MS,696,68,13.966203703703705,9.770114942528735,True
MT,871,53,16.14439814814815,6.084959816303099,True
PA,936,104,21.093171296296298,11.11111111111111,True
PB,509,53,18.20460648148148,10.412573673870334,True
PE,1573,153,15.737048611111112,9.726636999364272,True
PI,469,66,16.37704861111111,14.072494669509595,True
PR,4842,199,10.547523148148148,4.109871953738125,True
RJ,12212,1492,12.09251736111111,12.217490992466425,True
RN,467,44,16.06880787037037,9.421841541755889,True
RO,242,7,17.643385416666668,2.8925619834710745,True
RR,40,5,25.131105324074074,12.5,False
RS,5262,325,13.230358796296297,6.176358798935766,True
SC,3492,291,13.079739583333334,8.333333333333332,True
SE,333,51,18.046064814814816,15.315315315315313,True
SP,39908,1814,7.231521990740741,4.545454545454546,True
TO,270,27,15.921412037037037,10.0,True
